Product_ID,Promotion_ID,Discount_Value
MatFoa_8cd2,PROMO_8cd2,8.0
MatFoa_4414,PROMO_8cd2,8.0
MatFoa_e09a,PROMO_8cd2,8.0
MatFoa_182e,PROMO_8cd2,8.0
MatFoa_28ad,PROMO_8cd2,8.0
MatFoa_13fa,PROMO_8cd2,8.0
MatSpr_56a3,PROMO_8cd2,8.0
MatSpr_06ac,PROMO_8cd2,8.0
MatSpr_ccc4,PROMO_8cd2,8.0
MatSpr_28ce,PROMO_8cd2,8.0
MatSpr_ba3a,PROMO_8cd2,8.0
MatSpr_acd0,PROMO_8cd2,8.0
MatPoc_1e64,PROMO_8cd2,8.0
MatPoc_27a0,PROMO_8cd2,8.0
MatPoc_6ee7,PROMO_8cd2,8.0
MatPoc_45de,PROMO_8cd2,8.0
MatPoc_2df5,PROMO_8cd2,8.0
MatPoc_f6cb,PROMO_8cd2,8.0
BedCot_2449,PROMO_4414,0.0
BedCot_6141,PROMO_4414,0.0
BedCot_4a29,PROMO_4414,0.0
BedCot_c645,PROMO_4414,0.0
BedCot_d278,PROMO_4414,0.0
BedCot_87ca,PROMO_4414,0.0
BedCot_2397,PROMO_4414,0.0
BedCot_4e8b,PROMO_4414,0.0
BedCot_17f5,PROMO_4414,0.0
BedPol_e8c9,PROMO_4414,0.0
BedPol_2724,PROMO_4414,0.0
BedPol_e207,PROMO_4414,0.0
BedPol_3807,PROMO_4414,0.0
BedPol_f406,PROMO_4414,0.0
BedPol_d3de,PROMO_4414,0.0
BedPol_5144,PROMO_4414,0.0
BedPol_239e,PROMO_4414,0.0
BedPol_5ab8,PROMO_4414,0.0
BedLin_18f8,PROMO_4414,0.0
BedLin_2f24,PROMO_4414,0.0
BedLin_d846,PROMO_4414,0.0
BedLin_8a26,PROMO_4414,0.0
BedLin_b097,PROMO_4414,0.0
BedLin_67d1,PROMO_4414,0.0
BedLin_aa0f,PROMO_4414,0.0
BedLin_5d3d,PROMO_4414,0.0
BedLin_f732,PROMO_4414,0.0
MatFoa_8cd2,PROMO_e09a,8.0
MatFoa_4414,PROMO_e09a,8.0
MatFoa_e09a,PROMO_e09a,8.0
MatFoa_182e,PROMO_e09a,8.0
MatFoa_28ad,PROMO_e09a,8.0
MatFoa_13fa,PROMO_e09a,8.0
MatSpr_56a3,PROMO_e09a,8.0
MatSpr_06ac,PROMO_e09a,8.0
MatSpr_ccc4,PROMO_e09a,8.0
MatSpr_28ce,PROMO_e09a,8.0
MatSpr_ba3a,PROMO_e09a,8.0
MatSpr_acd0,PROMO_e09a,8.0
MatPoc_1e64,PROMO_e09a,8.0
MatPoc_27a0,PROMO_e09a,8.0
MatPoc_6ee7,PROMO_e09a,8.0
MatPoc_45de,PROMO_e09a,8.0
MatPoc_2df5,PROMO_e09a,8.0
MatPoc_f6cb,PROMO_e09a,8.0
MatFoa_8cd2,PROMO_182e,0.0
