,Order_Items_ID,Order_ID,Product_ID,Quantity,Unit_Price,Total_Amount
0,ORIT_8cd272,ORD_8cd272,MatSpr_28ce,1,6000.0,6000.0
1,ORIT_4414ca,ORD_4414ca,PilPol_662f,1,180.0,180.0
2,ORIT_e09a37,ORD_e09a37,BedCot_2397,4,1500.0,6000.0
3,ORIT_182efa,ORD_182efa,BedCot_6141,2,800.0,1600.0
4,ORIT_28ad5d,ORD_28ad5d,BedCot_6141,1,800.0,800.0
5,ORIT_13fac3,ORD_13fac3,BedCot_d278,1,1200.0,1200.0
6,ORIT_56a3be,ORD_56a3be,PilPol_3076,3,180.0,540.0
7,ORIT_06ac42,ORD_06ac42,PilCot_3481,1,250.0,250.0
8,ORIT_ccc456,ORD_ccc456,BolPol_cfd7,1,220.0,220.0
9,ORIT_28cec5,ORD_28cec5,MatSpr_ccc4,1,6000.0,6000.0
10,ORIT_ba3ae8,ORD_ba3ae8,BedCot_4a29,4,800.0,3200.0
11,ORIT_acd024,ORD_acd024,BolPol_82d7,3,220.0,660.0
12,ORIT_1e64a4,ORD_1e64a4,MatSpr_ccc4,4,6000.0,24000.0
13,ORIT_27a048,ORD_27a048,MatFoa_13fa,4,7500.0,30000.0
14,ORIT_6ee75b,ORD_6ee75b,PilPol_3076,3,180.0,540.0
15,ORIT_45de4b,ORD_45de4b,MatSpr_ccc4,4,6000.0,24000.0
16,ORIT_2df5c5,ORD_2df5c5,BlaFla_78f1,4,1000.0,4000.0
17,ORIT_f6cbaf,ORD_f6cbaf,MatFoa_13fa,3,7500.0,22500.0
18,ORIT_2449e4,ORD_2449e4,BlaFle_33f0,4,700.0,2800.0
19,ORIT_6141fa,ORD_6141fa,BolPol_cfd7,3,220.0,660.0
20,ORIT_4a29a2,ORD_4a29a2,PilCot_f078,1,250.0,250.0
21,ORIT_c645e8,ORD_c645e8,PilFea_56ac,1,650.0,650.0
22,ORIT_d27894,ORD_d27894,BedCot_2449,2,800.0,1600.0
23,ORIT_87ca8f,ORD_87ca8f,PilPol_a442,3,180.0,540.0
24,ORIT_239738,ORD_239738,BedPol_2724,1,400.0,400.0
25,ORIT_4e8b88,ORD_4e8b88,PilPol_3076,1,180.0,180.0
26,ORIT_17f531,ORD_17f531,PilPol_a442,1,180.0,180.0
27,ORIT_e8c93f,ORD_e8c93f,MatFoa_13fa,1,7500.0,7500.0
28,ORIT_272497,ORD_272497,PilPol_3076,1,180.0,180.0
29,ORIT_e207fb,ORD_e207fb,MatPoc_6ee7,2,13000.0,26000.0
30,ORIT_3807e4,ORD_3807e4,MatSpr_ccc4,1,6000.0,6000.0
31,ORIT_f40636,ORD_f40636,BolCot_21df,1,300.0,300.0
32,ORIT_d3de81,ORD_d3de81,BedCot_17f5,1,1500.0,1500.0
33,ORIT_51449e,ORD_51449e,BedCot_2449,1,800.0,800.0
34,ORIT_239e83,ORD_239e83,MatPoc_45de,1,13000.0,13000.0
35,ORIT_5ab8e4,ORD_5ab8e4,BlaCot_6c4b,1,2200.0,2200.0
36,ORIT_18f876,ORD_18f876,BolPol_82d7,1,220.0,220.0
37,ORIT_2f2436,ORD_2f2436,MatSpr_06ac,1,4000.0,4000.0
38,ORIT_d846d9,ORD_d846d9,MatPoc_45de,2,13000.0,26000.0
39,ORIT_8a26e0,ORD_8a26e0,BedPol_5ab8,1,600.0,600.0
40,ORIT_b09731,ORD_b09731,MatSpr_acd0,1,8000.0,8000.0
41,ORIT_67d14a,ORD_67d14a,MatSpr_ba3a,1,8000.0,8000.0
42,ORIT_aa0fd2,ORD_aa0fd2,BolCot_3050,1,300.0,300.0
43,ORIT_5d3da4,ORD_5d3da4,MatPoc_2df5,1,17500.0,17500.0
44,ORIT_f73236,ORD_f73236,MatSpr_ba3a,3,8000.0,24000.0
45,ORIT_3481ae,ORD_3481ae,BolCot_3050,1,300.0,300.0
46,ORIT_f07815,ORD_f07815,BolFea_b87f,1,700.0,700.0
47,ORIT_b22a14,ORD_b22a14,MatSpr_06ac,1,4000.0,4000.0
48,ORIT_8a5d1c,ORD_8a5d1c,MatSpr_ccc4,1,6000.0,6000.0
49,ORIT_115c61,ORD_115c61,BedPol_f406,1,500.0,500.0
50,ORIT_56acd1,ORD_56acd1,MatPoc_f6cb,1,17500.0,17500.0
51,ORIT_3076c1,ORD_3076c1,BedCot_17f5,1,1500.0,1500.0
52,ORIT_662f36,ORD_662f36,BedCot_4e8b,2,1500.0,3000.0
53,ORIT_a442d1,ORD_a442d1,BolPol_cfd7,2,220.0,440.0
54,ORIT_30508d,ORD_30508d,MatPoc_45de,1,13000.0,13000.0
55,ORIT_31e638,ORD_31e638,PilPol_a442,1,180.0,180.0
56,ORIT_21df41,ORD_21df41,BlaFle_394c,1,600.0,600.0
57,ORIT_98d483,ORD_98d483,MatSpr_acd0,1,8000.0,8000.0
58,ORIT_d1d699,ORD_d1d699,MatPoc_45de,1,13000.0,13000.0
59,ORIT_b87f98,ORD_b87f98,MatSpr_ccc4,4,6000.0,24000.0
60,ORIT_f3ad36,ORD_f3ad36,BolPol_f3ad,1,220.0,220.0
61,ORIT_cfd70e,ORD_cfd70e,BolCot_21df,3,300.0,900.0
62,ORIT_82d771,ORD_82d771,BedLin_2f24,2,2000.0,4000.0
63,ORIT_9ebb68,ORD_9ebb68,BedPol_239e,3,600.0,1800.0
64,ORIT_9781a8,ORD_9781a8,BedPol_5ab8,3,600.0,1800.0
65,ORIT_8a1460,ORD_8a1460,MatSpr_ccc4,3,6000.0,18000.0
66,ORIT_503c55,ORD_503c55,BolPol_82d7,2,220.0,440.0
67,ORIT_ce6c4e,ORD_ce6c4e,MatPoc_2df5,3,17500.0,52500.0
68,ORIT_b5292c,ORD_b5292c,MatSpr_ba3a,3,8000.0,24000.0
69,ORIT_572eed,ORD_572eed,MatSpr_28ce,3,6000.0,18000.0
70,ORIT_9ef64d,ORD_9ef64d,MatPoc_f6cb,2,17500.0,35000.0
71,ORIT_6c4b64,ORD_6c4b64,MatSpr_28ce,3,6000.0,18000.0
72,ORIT_769a37,ORD_769a37,PilFea_115c,3,650.0,1950.0
73,ORIT_ce8efa,ORD_ce8efa,BedPol_5144,3,600.0,1800.0
74,ORIT_41101c,ORD_41101c,PilPol_a442,4,180.0,720.0
75,ORIT_f99560,ORD_f99560,MatSpr_28ce,3,6000.0,18000.0
76,ORIT_1d9ce9,ORD_1d9ce9,BedCot_2397,3,1500.0,4500.0
77,ORIT_78f1b0,ORD_78f1b0,BedPol_2724,3,400.0,1200.0
78,ORIT_7645ce,ORD_7645ce,MatSpr_56a3,2,4000.0,8000.0
79,ORIT_ad01ba,ORD_ad01ba,BedCot_2449,3,800.0,2400.0
80,ORIT_5f55ee,ORD_5f55ee,BlaCot_ce6c,2,2000.0,4000.0
81,ORIT_991d44,ORD_991d44,MatPoc_6ee7,1,13000.0,13000.0
82,ORIT_148547,ORD_148547,MatPoc_6ee7,1,13000.0,13000.0
83,ORIT_0f50a1,ORD_0f50a1,BedCot_6141,1,800.0,800.0
84,ORIT_c9a0ca,ORD_c9a0ca,MatSpr_56a3,1,4000.0,4000.0
85,ORIT_394ca6,ORD_394ca6,BedPol_e8c9,1,400.0,400.0
86,ORIT_7daf9e,ORD_7daf9e,BedCot_c645,1,1200.0,1200.0
87,ORIT_5881e2,ORD_5881e2,MatFoa_182e,1,5500.0,5500.0
88,ORIT_33f035,ORD_33f035,MatSpr_ba3a,1,8000.0,8000.0
89,ORIT_9bda4b,ORD_9bda4b,MatSpr_ccc4,1,6000.0,6000.0
90,ORIT_d158dd,ORD_d158dd,BedCot_4a29,1,800.0,800.0
91,ORIT_09fb31,ORD_09fb31,BlaFle_c9a0,1,600.0,600.0
92,ORIT_b8c88c,ORD_b8c88c,MatPoc_27a0,2,8500.0,17000.0
93,ORIT_fce1f5,ORD_fce1f5,BolPol_82d7,1,220.0,220.0
94,ORIT_009560,ORD_009560,MatSpr_28ce,2,6000.0,12000.0
95,ORIT_025766,ORD_025766,MatSpr_acd0,1,8000.0,8000.0
96,ORIT_7fb44e,ORD_7fb44e,BedLin_2f24,1,2000.0,2000.0
97,ORIT_6d55a1,ORD_6d55a1,MatSpr_ccc4,1,6000.0,6000.0
98,ORIT_a6c526,ORD_a6c526,BolPol_82d7,3,220.0,660.0
99,ORIT_1fcc78,ORD_1fcc78,PilFea_56ac,1,650.0,650.0
100,ORIT_66703e,ORD_66703e,MatSpr_06ac,1,4000.0,4000.0
101,ORIT_8f3264,ORD_8f3264,MatPoc_6ee7,1,13000.0,13000.0
102,ORIT_08a9f2,ORD_08a9f2,PilPol_3076,2,180.0,360.0
103,ORIT_77c92d,ORD_77c92d,BedCot_4e8b,1,1500.0,1500.0
104,ORIT_af92f5,ORD_af92f5,MatPoc_1e64,3,8500.0,25500.0
105,ORIT_2999ec,ORD_2999ec,MatSpr_ba3a,1,8000.0,8000.0
106,ORIT_727a3d,ORD_727a3d,BedCot_6141,2,800.0,1600.0
107,ORIT_60e635,ORD_60e635,BolPol_cfd7,1,220.0,220.0
108,ORIT_fd3a3e,ORD_fd3a3e,MatPoc_f6cb,1,17500.0,17500.0
109,ORIT_09a31a,ORD_09a31a,MatPoc_45de,1,13000.0,13000.0
110,ORIT_dbb792,ORD_dbb792,MatPoc_45de,1,13000.0,13000.0
111,ORIT_f4520b,ORD_f4520b,MatPoc_2df5,1,17500.0,17500.0
112,ORIT_600d7c,ORD_600d7c,MatPoc_f6cb,2,17500.0,35000.0
113,ORIT_e93849,ORD_e93849,PilPol_a442,3,180.0,540.0
114,ORIT_ba7067,ORD_ba7067,MatPoc_2df5,1,17500.0,17500.0
115,ORIT_664e2d,ORD_664e2d,MatPoc_1e64,1,8500.0,8500.0
116,ORIT_849d94,ORD_849d94,PilPol_662f,3,180.0,540.0
117,ORIT_4d577e,ORD_4d577e,BolCot_21df,1,300.0,300.0
118,ORIT_d741a2,ORD_d741a2,BolFea_98d4,3,700.0,2100.0
119,ORIT_98ff6e,ORD_98ff6e,MatSpr_ba3a,3,8000.0,24000.0
120,ORIT_c4b448,ORD_c4b448,BedPol_5ab8,1,600.0,600.0
121,ORIT_b4d84b,ORD_b4d84b,MatPoc_27a0,1,8500.0,8500.0
122,ORIT_5d6db4,ORD_5d6db4,MatSpr_ccc4,1,6000.0,6000.0
123,ORIT_92a49c,ORD_92a49c,MatSpr_06ac,1,4000.0,4000.0
124,ORIT_d436a1,ORD_d436a1,BedPol_5144,2,600.0,1200.0
125,ORIT_256b36,ORD_256b36,MatSpr_ccc4,2,6000.0,12000.0
126,ORIT_af53a5,ORD_af53a5,MatFoa_8cd2,1,3500.0,3500.0
127,ORIT_6ec73f,ORD_6ec73f,MatPoc_45de,1,13000.0,13000.0
128,ORIT_358ed4,ORD_358ed4,BedPol_239e,1,600.0,600.0
129,ORIT_e8611e,ORD_e8611e,PilPol_a442,1,180.0,180.0
130,ORIT_5fed38,ORD_5fed38,MatPoc_27a0,1,8500.0,8500.0
131,ORIT_db07d1,ORD_db07d1,MatFoa_28ad,1,7500.0,7500.0
132,ORIT_b48d5e,ORD_b48d5e,MatSpr_ba3a,1,8000.0,8000.0
133,ORIT_7cec94,ORD_7cec94,MatSpr_ccc4,3,6000.0,18000.0
134,ORIT_97b0f8,ORD_97b0f8,BolCot_21df,1,300.0,300.0
135,ORIT_02d82d,ORD_02d82d,BedLin_aa0f,1,4200.0,4200.0
136,ORIT_bd789d,ORD_bd789d,BedCot_87ca,1,1200.0,1200.0
